id,title,taxonomy,date,locator,discovery,access,tier,notes
STN-MCK-001,The state of AI in 2026: On the road to ROI,T1,2026-08-25,mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai,SW1,OPEN-PDF,VERIFIED,Canonical URL serves current edition
STN-MCK-002,The state of AI in 2025: Agents innovation and transformation,T1,2025,mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai,SW1/SW2,OPEN-PDF,VERIFIED,Distinct artifact superseded at canonical URL
STN-MCK-003,The state of AI: How organizations are rewiring to capture value,T1,2025-03-12,mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai-how-organizations-are-rewiring-to-capture-value,SW1,OPEN-PDF,VERIFIED,
STN-MCK-004,The state of AI in early 2024: Gen AI adoption spikes,T1,2024-05-30,mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai-2024,SW1,OPEN-PDF,VERIFIED,
STN-MCK-005,McKinsey Technology Trends Outlook 2025,T1,2025-07-22,mckinsey.com/capabilities/tech-and-ai/our-insights/the-top-trends-in-tech,SW1/SW2,OPEN-PDF,VERIFIED,Fifth annual edition 108 pages
STN-MCK-006,The economic potential of generative AI,T1,2023-06,mckinsey.com/capabilities/quantumblack/our-insights/the-economic-potential-of-generative-ai-the-next-productivity-frontier,SW1,OPEN-PDF,VERIFIED,FLAG pre-window edge retained as foundational
STN-MCK-007,Superagency in the workplace,T1,2025-01-28,mckinsey.com/capabilities/mckinsey-digital/our-insights/superagency-in-the-workplace,SW1,OPEN,CORROBORATED,Locator truncated in research artifact
STN-MCK-008,Seizing the agentic AI advantage,T1,2025-06,mckinsey.com/capabilities/quantumblack/our-insights/seizing-the-agentic-ai-advantage,SW1,OPEN-PDF,VERIFIED,28 pages
STN-MCK-009,The next big arenas of competition,T1,2024-10,mckinsey.com/mgi/our-research/the-next-big-arenas-of-competition,SW1,OPEN-PDF,VERIFIED,213 pages
STN-MCK-010,The race takes off in the next big arenas,T1,2025,mckinsey.com/mgi/our-research/the-race-takes-off-in-the-next-big-arenas-of-competition,SW1,OPEN,CORROBORATED,
STN-MCK-011,A data leader technical guide to scaling gen AI,T1,2024,mckinsey.com/capabilities/tech-and-ai/our-insights/a-data-leaders-technical-guide-to-scaling-gen-ai,SW1,OPEN,CORROBORATED,Dual T1/T4
STN-MCK-012,Charting a path to the data and AI driven enterprise of 2030,T1,2024,mckinsey.com/capabilities/tech-and-ai/our-insights/charting-a-path-to-the-data-and-ai-driven-enterprise-of-2030,SW1,OPEN,CORROBORATED,
